Lattitude,Longitude,SubStation_Name,Capacity
26.6375901,92.82269,Batamari S/S,10
24.5830437,92.837386,Bagha Sub-Station,5
26.4056471,92.846626,SAMUGURI SS,5
25.9974911,92.8495993,HOJAI SS,15
25.1137891,92.854159,Harangajao S/S,2.5
24.6701749,92.8568019,Kabuganj Sub-Station,7.5
24.7175045,92.8778327,Sonai Sub-Station,5
24.8134821,92.882234,Baskandi Sub-Station,5
24.8972201,92.89409,Pangram Sub-Station,15
26.0655861,92.905839,NILBAGAN SS,20
25.8613331,92.912591,Kheroni S/S,5
26.4608921,92.9215,AMONI SS,10
26.7338501,92.952391,Jamuguri S/S,10
25.9205111,92.953961,LANKA SS,20
26.7834601,92.95849,Itakhola S/S,10
24.9127311,92.967025,Kumbhirgram Sub-Station,2.5
26.5732591,92.997055,GARUBANDHA SS,10
25.1777001,93.012,HAFLONG SS,10
24.8468311,93.02423,Poilapool Sub-Station,15
26.7409901,93.03611,Sootea S/S,6.3
26.1136271,93.040952,Howraghat S/S,5
26.2124151,93.050841,Dokmoka S/S,2.5
26.6878801,93.05398,Bokabil S/S,5
26.5740541,93.086339,BURA PAHAR SS,8.15
25.3041781,93.126696,Maibong S/S,3.15
26.7389201,93.13726,Biswanath Chariali S/S,15
26.8188701,93.15389,Pavoi S/S,6.3
25.7516271,93.172874,LUMDING SS,10
26.0526471,93.201604,Bokolia S/S,2.5
26.7754801,93.26716,Monabari S/S,5.65
26.8299001,93.29854,Borgang S/S,8.15
26.2729428,93.3212787,Dillaji S/S,20
26.8516441,93.383155,Bedeti S/S,10
26.5885001,93.3946,KOHORA SS,2.5
25.9584171,93.440827,Manja S/S,5
26.8486101,93.45905,Halem Misamari S/S,5
26.9158501,93.48771,Dufflagarh S/S,10
26.8700201,93.59232,Gohpur S/S,10
26.6390701,93.5979,BOKAKHAT SS,10
26.9025901,93.71321,Dubia S/S,10
26.6286801,93.72809,NUMALIGARH SS,7.5
25.968539,93.7483955,Khatkhati S/S,5
26.0214301,93.761428,Bokajan S/S,7.5
